main group	main group	aij
4	10	586.6
5	10	-203.6
6	10	306.4
7	10	-116
8	10	-271.1
9	10	-37.36
10	10	0
11	10	185.1
12	10	-236.5
13	10	-7.838
19	10	224.66
20	10	-165.5
21	10	-47.51
22	10	190.6
23	10	242.8
32	10	245.9
34	10	-55.87
36	10	354
37	10	183.8
39	10	13.89
41	10	577.5
1	11	232.1
2	11	37.85
3	11	5.994
4	11	5688
5	11	101.1
6	11	-10.72
7	11	72.87
8	11	-449.4
9	11	-213.7
10	11	-110.3
11	11	0
12	11	1167
13	11	461.3
15	11	136
16	11	2889
17	11	-294.8
18	11	8.87
19	11	-266.6
20	11	-256.3
21	11	35.38
22	11	-132.9
23	11	176.5
24	11	129.5
25	11	-171.1
26	11	129.3
28	11	243.8
30	11	-146.3
31	11	152
32	11	21.92
33	11	24.37
34	11	-111.45
35	11	41.57
36	11	175.5
37	11	611.3
39	11	-82.12
41	11	-234.9
47	11	-3.444
1	12	507
2	12	333.5
3	12	287.1
4	12	197.8
5	12	267.8
6	12	179.7
7	12	233.87
8	12	-32.52
9	12	-190.4
10	12	766
11	12	-241.8
12	12	0
13	12	457.3
18	12	554.4
19	12	99.37
20	12	193.9
22	12	80.99
23	12	235.6
24	12	351.9
25	12	383.3
29	12	201.5
33	12	-92.26
37	12	134.5
39	12	-116.7
41	12	65.37
1	13	251.5
2	13	214.5
3	13	32.14
4	13	213.1
5	13	28.06
6	13	-128.6
7	13	540.5
8	13	-162.9
9	13	-103.6
10	13	304.1
11	13	-235.7
12	13	-234
13	13	0
14	13	222.1
15	13	-56.08
16	13	-194.1
17	13	285.36
18	13	-156.1
19	13	38.81
20	13	-338.5
21	13	225.4
22	13	-197.7
23	13	-20.93
24	13	113.9
25	13	-25.15
26	13	-94.49
27	13	220.66
28	13	112.4
29	13	63.71
30	13	-87.31
31	13	9.207
32	13	476.6
33	13	736.4
34	13	173.77
35	13	-93.51
37	13	-217.9
38	13	167.1
39	13	-158.2
40	13	278.15
41	13	-247.8
42	13	448.5
1	14	391.5
2	14	240.9
3	14	161.7
4	14	19.02
5	14	83.02
6	14	359.3
7	14	48.89
8	14	-832.97
13	14	-78.36
14	14	0
15	14	127.4
16	14	38.89
17	14	-15.07
19	14	-157.3
21	14	131.2
24	14	261.1
25	14	108.5
29	14	106.7
35	14	-366.51
39	14	49.7
42	14	961.8
43	14	-125.2
1	15	255.7
2	15	163.9
3	15	122.8
4	15	-49.29
5	15	42.7
6	15	-20.98
7	15	168
9	15	-174.2
11	15	-73.5
13	15	251.5
14	15	-107.2
15	15	0
16	15	865.9
17	15	64.3
18	15	-207.66
19	15	-108.5
24	15	91.13
25	15	102.2
31	15	-213.74
38	15	-198.8
39	15	10.03
41	15	284.5
42	15	1464
43	15	1604
1	16	206.6
2	16	61.11
3	16	90.49
4	16	23.5
5	16	-323
6	16	53.9
7	16	304
9	16	-169
11	16	-196.7
13	16	5422.3
14	16	-41.11
15	16	-189.2
16	16	0
17	16	-24.46
19	16	-446.86
21	16	151.38
22	16	-141.4
23	16	-293.7
24	16	316.9
25	16	2951
35	16	-257.2
38	16	116.5
39	16	-185.2
1	17	920.7
2	17	749.3
3	17	648.2
4	17	664.2
5	17	-52.39
6	17	489.7
7	17	459
8	17	-305.5
9	17	6201
11	17	475.5
13	17	-46.39
14	17	-200.7
15	17	138.54
16	17	287.43
17	17	0
18	17	117.4
19	17	777.4
20	17	493.8
21	17	429.7
22	17	140.8
24	17	898.2
25	17	334.9
27	17	134.9
31	17	192.3
39	17	343.7
41	17	-22.1
1	18	287.77
2	18	280.5
3	18	-4.449
4	18	52.8
5	18	170
6	18	580.5
7	18	459
8	18	-305.5
9	18	7.341
11	18	-0.13
12	18	-233.4
13	18	213.2
15	18	431.49
17	18	89.7
18	18	0
19	18	134.3
20	18	-313.5
22	18	587.3
23	18	18.98
24	18	368.5
25	18	20.18
27	18	2475
33	18	-42.71
37	18	281.6
38	18	159.8
50	18	221.4
1	19	597
2	19	336.9
3	19	212.5
4	19	6096
5	19	6.712
6	19	53.28
7	19	112.6
9	19	481.7
10	19	-106.4
11	19	494.6
12	19	-47.25
13	19	-18.51
14	19	358.9
15	19	147.1
16	19	1255.1
17	19	-281.6
18	19	-169.7
19	19	0
20	19	92.07
21	19	54.32
22	19	258.6
23	19	74.04
24	19	492
25	19	363.5
26	19	0.2827
28	19	335.7
29	19	161
31	19	169.6
33	19	136.9
34	19	329.1
36	19	-42.31
37	19	335.2
39	19	150.6
41	19	-61.6
47	19	119.2
1	20	663.5
2	20	318.9
3	20	537.4
4	20	872.3
5	20	199
6	20	-202
7	20	-14.09
8	20	408.9
9	20	669.4
10	20	497.5
11	20	660.2
12	20	-268.1
13	20	664.6
17	20	-396
18	20	-153.7
19	20	205.27
20	20	0
21	20	519.1
22	20	543.3
23	20	504.2
24	20	631
25	20	993.4
30	20	570.6
32	20	616.6
33	20	5256
35	20	-180.2
37	20	898.2
39	20	-97.77
41	20	1179
42	20	2450
43	20	2496
46	20	-70.25
1	21	35.93
2	21	-36.87
3	21	-18.81
4	21	-114.1
5	21	75.62
6	21	-38.32
7	21	325.4
9	21	-191.7
10	21	751.9
11	21	-34.74
13	21	301.1
14	21	-82.92
16	21	-182.91
17	21	287
19	21	4.933
20	21	13.41
21	21	0
22	21	-84.53
23	21	-157.1
24	21	11.8
25	21	-129.7
26	21	113
27	21	1971
28	21	-73.09
29	21	-27.94
30	21	-39.46
32	21	179.25
33	21	-262.3
37	21	383.2
39	21	-55.21
41	21	182.2
1	22	53.76
2	22	58.55
3	22	-144.4
4	22	-111
5	22	65.28
6	22	-102.5
7	22	370.4
8	22	517.27
9	22	-130.3
10	22	67.52
11	22	108.9
12	22	31
13	22	137.8
16	22	-73.85
17	22	-111
18	22	-351.6
19	22	-152.7
20	22	-44.7
21	22	108.3
22	22	0
23	22	0
24	22	17.97
25	22	-8.309
26	22	-9.639
30	22	-116.21
32	22	-40.82
33	22	-174.5
35	22	-215
37	22	301.9
39	22	397.24
41	22	305.4
47	22	-194.7
1	23	24.9
2	23	-13.99
3	23	-231.9
4	23	-80.25
5	23	-98.12
6	23	-139.4
7	23	353.7
9	23	-354.6
10	23	-483.7
11	23	-209.7
12	23	-126.2
13	23	-154.3
16	23	-352.9
18	23	-114.7
19	23	-15.62
20	23	39.63
21	23	249.2
22	23	0
23	23	0
24	23	51.9
25	23	-0.2266
28	23	-26.06
30	23	48.48
32	23	21.76
33	23	-46.8
35	23	-343.6
37	23	-149.8
41	23	-193
44	23	-196.2
48	23	-363.1
1	24	104.3
2	24	-109.7
3	24	3
4	24	-141.3
5	24	143.1
6	24	-44.76
7	24	497.5
8	24	1827
9	24	-39.2
11	24	54.57
12	24	179.7
13	24	47.67
14	24	-99.81
15	24	71.23
16	24	-262
17	24	882
18	24	-205.3
19	24	-54.86
20	24	183.4
21	24	62.42
22	24	56.33
23	24	-30.1
24	24	0
25	24	-248.4
26	24	-34.68
27	24	514.6
28	24	-60.71
30	24	-133.16
32	24	48.49
33	24	77.55
35	24	-58.43
36	24	-85.15
37	24	-134.2
38	24	-124.6
39	24	-186.7
41	24	335.7
43	24	70.81
47	24	3.163
48	24	-11.3
50	24	-79.34
52	24	75.04
1	25	11.44
2	25	100.1
3	25	187
4	25	-211
5	25	123.5
6	25	-28.25
7	25	133.9
8	25	6915
9	25	-119.8
11	25	442.4
12	25	24.28
13	25	134.8
14	25	30.05
15	25	-18.93
16	25	-181.9
17	25	617.5
18	25	-2.17
19	25	-4.624
20	25	-79.08
21	25	153
22	25	223.1
23	25	192.1
24	25	-75.97
25	25	0
26	25	132.9
27	25	-123.1
33	25	-185.3
35	25	-334.12
39	25	-374.16
40	25	33.95
41	25	1107
44	25	161.5
47	25	7.082
1	26	661.5
2	26	357.5
3	26	168
4	26	3629
5	26	256.5
6	26	75.14
7	26	220.6
9	26	137.5
11	26	-81.13
13	26	95.18
19	26	-0.515
21	26	32.73
22	26	108.9
24	26	490.9
25	26	132.7
26	26	0
27	26	-85.12
28	26	277.8
31	26	481.3
32	26	64.28
33	26	125.3
34	26	174.4
37	26	379.4
39	26	223.6
41	26	-124.7
45	26	844
50	26	176.3
1	27	543
3	27	194.9
4	27	4448
5	27	157.1
6	27	457.88
7	27	399.5
8	27	-413.48
9	27	548.5
13	27	155.11
17	27	-139.3
18	27	2845
21	27	86.2
24	27	534.7
25	27	2213
26	27	533.2
27	27	0
32	27	2448
33	27	4288
1	28	153.6
2	28	76.302
3	28	52.07
4	28	-9.451
5	28	488.9
6	28	-31.09
7	28	887.1
8	28	8484
9	28	216.1
11	28	183
13	28	140.9
19	28	230.9
21	28	450.1
23	28	116.6
24	28	132.2
26	28	320.2
28	28	0
32	28	-27.45
37	28	167.9
41	28	885.5
1	29	184.4
3	29	-10.43
4	29	393.6
5	29	147.5
6	29	17.5
9	29	-46.28
12	29	103.9
13	29	-8.538
14	29	-70.14
19	29	0.4604
21	29	59.02
29	29	0
35	29	85.7
39	29	-71
44	29	-274.1
48	29	6.971
1	30	354.55
2	30	262.9
3	30	-64.69
4	30	48.49
5	30	-120.5
6	30	-61.76
7	30	188
9	30	-163.7
11	30	202.3
13	30	170.1
20	30	-208.9
21	30	65.56
22	30	149.56
23	30	-64.38
24	30	546.7
30	30	0
37	30	82.64
41	30	-64.28
1	31	3025
3	31	210.4
4	31	4975
5	31	-318.9
6	31	-119.2
7	31	12.72
8	31	-687.1
9	31	71.46
11	31	-101.7
13	31	-20.11
15	31	939.07
17	31	0.1004
19	31	177.5
26	31	139.8
31	31	0
35	31	535.8
39	31	-191.7
41	31	-264.3
44	31	262
47	31	515.8
1	32	335.8
3	32	113.3
4	32	259
5	32	313.5
6	32	212.1
9	32	53.59
10	32	117
11	32	148.3
13	32	-149.5
20	32	228.4
21	32	2.22
22	32	177.6
23	32	86.4
24	32	247.8
26	32	304.3
27	32	2990
28	32	292.7
32	32	0
33	32	37.1
41	32	288.1
1	33	479.5
2	33	183.8
3	33	261.3
4	33	210
5	33	202.1
6	33	106.3
7	33	777.1
9	33	245.2
11	33	18.88
12	33	298.13
13	33	-202.3
18	33	-60.78
19	33	-62.17
20	33	-95
21	33	344.4
22	33	315.9
23	33	168.8
24	33	146.6
25	33	593.4
26	33	10.17
27	33	-124
32	33	6.37
33	33	0
35	33	-111.2
37	33	322.42
39	33	-176.26
41	33	627.7
1	34	298.9
2	34	31.14
3	34	154.26
4	34	-152.55
5	34	727.8
6	34	-119.1
9	34	-246.6
10	34	2.21
11	34	71.48
13	34	-156.57
19	34	-203
26	34	-27.7
34	34	0
37	34	631.5
39	34	6.699
1	35	526.5
2	35	179
3	35	169.9
4	35	4284
5	35	-202.1
6	35	-399.3
7	35	-139
9	35	-44.58
11	35	52.08
13	35	128.8
14	35	874.19
16	35	243.1
20	35	-463.6
22	35	215
23	35	363.7
24	35	337.7
25	35	1337.37
29	35	31.66
31	35	-417.2
33	35	32.9
35	35	0
39	35	136.6
41	35	-29.34
1	36	689
2	36	-52.87
3	36	383.9
4	36	-119.2
5	36	74.27
6	36	-5.224
7	36	160.8
9	36	-63.5
10	36	-339.2
11	36	-28.61
19	36	81.57
24	36	369.5
36	36	0
37	36	837.2
39	36	5.15
41	36	-53.91
1	37	-4.189
2	37	-66.46
3	37	-259.1
4	37	-282.5
5	37	225.8
6	37	33.47
9	37	-34.57
10	37	172.4
11	37	-275.2
12	37	-11.4
13	37	240.2
18	37	160.7
19	37	-55.77
20	37	-11.16
21	37	-168.2
22	37	-91.8
23	37	111.2
24	37	187.1
26	37	10.76
28	37	-47.37
30	37	262.9
33	37	-48.33
34	37	2073
36	37	-208.8
37	37	0
39	37	-137.7
41	37	-198
44	37	-66.31
48	37	148.9
1	38	125.8
2	38	359.3
3	38	389.3
4	38	101.4
5	38	44.78
6	38	-48.25
13	38	-273.9
15	38	570.9
16	38	-196.3
18	38	-158.8
24	38	215.2
38	38	0
39	38	50.06
40	38	185.6
1	39	485.3
2	39	-70.45
3	39	245.6
4	39	5629
5	39	-143.9
6	39	-172.4
7	39	319
9	39	-61.7
10	39	-268.8
11	39	85.33
12	39	308.9
13	39	254.8
14	39	-164
15	39	-255.22
16	39	22.05
17	39	-334.4
19	39	-151.5
20	39	-228
21	39	6.57
22	39	-160.28
24	39	498.6
25	39	5143.14
26	39	-223.1
29	39	78.92
31	39	302.2
33	39	336.25
34	39	-119.8
35	39	-97.71
36	39	-8.804
37	39	255
38	39	-110.65
39	39	0
40	39	55.8
41	39	-28.65
1	40	-2.859
2	40	449.4
3	40	22.67
4	40	-245.39
13	40	-172.51
25	40	309.58
38	40	-117.2
39	40	-5.579
40	40	0
45	40	-32.17
1	41	387.1
2	41	48.33
3	41	103.5
4	41	69.26
5	41	190.3
6	41	165.7
7	41	-197.5
8	41	-494.2
9	41	-18.8
10	41	-275.5
11	41	560.2
12	41	-70.24
13	41	417
15	41	-38.77
17	41	-89.42
19	41	120.3
20	41	-337
21	41	63.67
22	41	-96.87
23	41	255.8
24	41	256.5
25	41	-145.1
26	41	248.4
28	41	469.8
30	41	43.37
31	41	347.8
32	41	68.55
33	41	-195.1
35	41	153.7
36	41	423.4
37	41	730.8
39	41	72.31
41	41	0
47	41	101.2
1	42	-450.4
3	42	-432.3
4	42	683.3
5	42	-817.7
7	42	-363.8
9	42	-588.9
13	42	1338
14	42	-664.4
15	42	448.1
20	42	169.3
42	42	0
43	42	745.3
1	43	252.7
3	43	238.9
4	43	355.5
5	43	202.7
14	43	275.9
15	43	-1327
20	43	127.2
24	43	233.1
42	43	-2166
43	43	0
1	44	220.3
2	44	86.46
3	44	30.04
4	44	46.38
5	44	-504.2
7	44	-452.2
8	44	-659
23	44	-35.68
25	44	-209.7
29	44	1004
31	44	-262
38	44	26.35
44	44	0
1	45	-5.869
3	45	-88.11
5	45	72.96
6	45	-52.1
26	45	-218.9
40	45	111.8
45	45	0
1	46	390.9
2	46	200.2
5	46	-382.7
7	46	835.6
20	46	-322.3
46	46	0
1	47	553.3
2	47	268.1
3	47	333.3
4	47	421.9
5	47	-248.3
7	47	139.6
9	47	37.54
11	47	151.8
19	47	16.23
22	47	361.1
24	47	423.1
25	47	434.1
31	47	-353.5
47	47	0
1	48	187
2	48	-617
6	48	37.63
23	48	565.9
24	48	63.95
29	48	-18.27
37	48	2429
48	48	0
1	49	216.1
2	49	62.56
3	49	-59.58
4	49	-203.6
5	49	104.7
6	49	-59.4
7	49	407.9
49	49	0
1	50	92.99
3	50	-39.16
4	50	184.9
5	50	57.65
6	50	-46.01
8	50	1005
9	50	-162.6
18	50	-136.6
24	50	108.5
26	50	-4.565
1	52	808.59
2	52	200.94
3	52	360.82
4	52	233.51
5	52	215.81
6	52	150.02
7	52	-255.63
24	52	585.19
56	1	-20.31
56	3	-106.7
56	4	568.47
56	5	284.28
56	7	401.2
56	9	106.21
56	24	-108.37
56	25	5.76
56	27	-272.01
56	38	107.84
56	39	-33.93
1	56	153.72
3	56	174.35
4	56	-280.9
5	56	147.97
7	56	580.28
9	56	179.74
24	56	127.16
25	56	8.48
27	56	1742.53
38	56	117.59
39	56	39.84
53	1	21.49
53	2	-2.8
53	3	344.42
53	4	510.32
53	5	244.67
53	6	163.76
53	7	833.21
53	9	569.18
53	10	-1.25
53	11	-38.4
53	12	69.7
53	13	-375.6
53	20	600.78
53	21	291.1
53	23	-286.26
53	24	-52.93
53	37	177.12
1	53	408.3
2	53	219.9
3	53	171.49
4	53	-184.68
5	53	6.39
6	53	98.2
7	53	-144.77
9	53	-288.94
10	53	79.71
11	53	36.34
12	53	-77.96
13	53	567
20	53	12.55
21	53	-127.9
23	53	165.67
24	53	291.87
37	53	-127.06
54	1	272.82
54	2	569.71
54	3	165.18
54	4	369.89
54	9	-62.02
54	11	-229.01
54	13	-196.59
54	18	100.25
54	20	472.04
54	24	196.73
54	28	434.32
54	32	313.14
54	41	-244.59
1	54	718.01
2	54	-677.25
3	54	272.33
4	54	9.63
9	54	91.01
11	54	446.9
13	54	102.21
18	54	98.82
20	54	-60.07
24	54	532.73
28	54	684.78
32	54	190.81
41	54	-100.53
55	3	920.49
55	4	305.77
55	20	171.94
3	55	22.06
4	55	795.38
20	55	88.09
